"CIG","COD_CPV","DESCRIZIONE_CPV","OGGETTO_LOTTO"
"8927138B51","33125000-2","APPARECCHI PER CONTROLLI UROLOGICI","FORNITURA DI N. 1 MORCELLATORE OCCORRENTE ALLA CLINICA UROLOGICA E CENTRO TRAPIANTO DI RENI DEL POLICLINICO RIUNITI DI FOGGIA"
"89145420C8","72220000-3","SERVIZI DI CONSULENZA IN SISTEMI INFORMATICI E ASSISTENZA TECNICA","PRESTAZIONE DI SERVIZI DI SUPPORTO SPECIALISTICO IN MATERIA DI SOFTWARE ENGINEERING MANAGEMENT & QUALITY MANAGEMENT A INNOVAPUGLIA S.P.A"
"8921078275","33194100-7","APPARECCHI E STRUMENTI PER INFUSIONE","PROCEDURA NEGOZIATA PER LA FORNITURA DI N. 5 STAZIONI MODULARI E N. 5 POMPE INFUSIONALI"
"89131682EB","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","PLANTARI, GAMBALI PRESSORI E RELATIVE APPARECCHIATURE IN USO GRATUITO"
"89243259F5","45410000-4","LAVORI DI INTONACATURA","PROCEDURA APERTA PER L'AFFIDAMENTO DEI LAVORI DI ADEGUAMENTO ALLE NORMATIVE ANTINCENDIO DELL'IMMOBILE PALAZZO SCIALPI IN MANDURIA"
"8437656DFD","45454000-4","LAVORI DI RISTRUTTURAZIONE","LAVORI DI RIFUNZIONALIZZAZIONE DI PARTE DEL TERZO PIANO DEL P.O. DI ANDRIA PER LA REALIZZAZIONE DI AMBULATORI DI UROLOGIA "
"892529064E","64112000-4","SERVIZI POSTALI PER LA CORRISPONDENZA","AFFIDAMENTO DEL SERVIZIO POSTALE PER L'ASL BT"
"89202642B9","38412000-6","TERMOMETRI","FORNITURA TRIENNALE DI TERMOMETRI CON ACCESSORI PER LE ESIGENZE DELL'AZIENDA"
"8913863074","71330000-0","VARI SERVIZI DI INGEGNERIA","SERVIZI TECNICI DI DIREZIONE LAVORI E COORDINAMENTO SICUREZZA, RELATIVAMENTE ALL'OPERA DENOMINATA 'RIQUALIFICAZIONE E VALORIZZAZIONE DEL NUCLEO ANTICO"
"88628173F5","45212290-5","RIPARAZIONE E MANUTENZIONE DI IMPIANTI SPORTIVI","RIQUALIFICAZIONE DEL CAMPO SPORTIVO 'R. DEPERGOLA' - RIGENERAZIONE DI CAMPO DI CALCIO ESISTENTE."
"889669267D","64110000-0","SERVIZI POSTALI","SERVIZIO POSTALE PER LA CORRISPONDENZA DEL COMUNE DI PUTIGNANO "
